City,State short,State full,County
"Flensburg","SH","Schleswig-Holstein","Flensburg, Stadt"
"Kiel","SH","Schleswig-Holstein","Kiel, Landeshauptstadt"
"Lübeck","SH","Schleswig-Holstein","Lübeck, Hansestadt"
"Neumünster","SH","Schleswig-Holstein","Neumünster, Stadt"
"Brunsbüttel","SH","Schleswig-Holstein","Dithmarschen"
"Heide","SH","Schleswig-Holstein","Dithmarschen"
"Averlak","SH","Schleswig-Holstein","Dithmarschen"
"Brickeln","SH","Schleswig-Holstein","Dithmarschen"
"Buchholz","SH","Schleswig-Holstein","Dithmarschen"
"Burg","SH","Schleswig-Holstein","Dithmarschen"
"Dingen","SH","Schleswig-Holstein","Dithmarschen"
"Eddelak","SH","Schleswig-Holstein","Dithmarschen"
"Eggstedt","SH","Schleswig-Holstein","Dithmarschen"
"Frestedt","SH","Schleswig-Holstein","Dithmarschen"
"Großenrade","SH","Schleswig-Holstein","Dithmarschen"
"Hochdonn","SH","Schleswig-Holstein","Dithmarschen"
"Kuden","SH","Schleswig-Holstein","Dithmarschen"
"Quickborn","SH","Schleswig-Holstein","Dithmarschen"
"Sankt Michaelisdonn","SH","Schleswig-Holstein","Dithmarschen"
"Süderhastedt","SH","Schleswig-Holstein","Dithmarschen"
"Diekhusen-Fahrstedt","SH","Schleswig-Holstein","Dithmarschen"
"Friedrichskoog","SH","Schleswig-Holstein","Dithmarschen"
"Helse","SH","Schleswig-Holstein","Dithmarschen"
"Kaiser-Wilhelm-Koog","SH","Schleswig-Holstein","Dithmarschen"
"Kronprinzenkoog","SH","Schleswig-Holstein","Dithmarschen"
"Marne","SH","Schleswig-Holstein","Dithmarschen"
"Marnerdeich","SH","Schleswig-Holstein","Dithmarschen"
"Neufeld","SH","Schleswig-Holstein","Dithmarschen"
"Neufelderkoog","SH","Schleswig-Holstein","Dithmarschen"
"Ramhusen","SH","Schleswig-Holstein","Dithmarschen"
"Schmedeswurth","SH","Schleswig-Holstein","Dithmarschen"
"Trennewurth","SH","Schleswig-Holstein","Dithmarschen"
"Volsemenhusen","SH","Schleswig-Holstein","Dithmarschen"
"Barkenholm","SH","Schleswig-Holstein","Dithmarschen"
"Bergewöhrden","SH","Schleswig-Holstein","Dithmarschen"
"Dellstedt","SH","Schleswig-Holstein","Dithmarschen"
"Delve","SH","Schleswig-Holstein","Dithmarschen"
"Dörpling","SH","Schleswig-Holstein","Dithmarschen"
"Fedderingen","SH","Schleswig-Holstein","Dithmarschen"
"Gaushorn","SH","Schleswig-Holstein","Dithmarschen"
"Glüsing","SH","Schleswig-Holstein","Dithmarschen"
"Groven","SH","Schleswig-Holstein","Dithmarschen"
"Hemme","SH","Schleswig-Holstein","Dithmarschen"
"Hennstedt","SH","Schleswig-Holstein","Dithmarschen"
"Hövede","SH","Schleswig-Holstein","Dithmarschen"
"Hollingstedt","SH","Schleswig-Holstein","Dithmarschen"
"Karolinenkoog","SH","Schleswig-Holstein","Dithmarschen"
"Kleve","SH","Schleswig-Holstein","Dithmarschen"
"Krempel","SH","Schleswig-Holstein","Dithmarschen"
"Lehe","SH","Schleswig-Holstein","Dithmarschen"
"Linden","SH","Schleswig-Holstein","Dithmarschen"
